country,related_to_food,related_to_seafood
Afarivaria,1,0
Alverossia,3,0
Alverovia,0,0
Andenovia,4,3
Anderia del Mar,1,1
Ariuzima,3,3
Arreciviento,18,18
Arvaros,1,0
Arvekalia,0,0
Azurionix,1,0
Baziuzim,1,1
Brindisola,18,16
Brindivaria,3,1
Calabrand,0,0
Chrysazul,1,0
Coral Solis,7,5
Coralada,10,8
Coraland,0,0
Coralmarica,38,25
Faraluna,22,20
Galduzim,2,0
Gavanovia,8,5
Helixia,0,0
Helvoris,0,0
Icarnia,2,1
Imazam,0,0
Isla Solmar,1,1
Islavaragon,1,0
Islavaria,1,1
Isliandor,10,5
Ivarisia,1,1
Jiraputra,2,1
Kethanor,0,0
Kethilim,3,2
Khamposa,0,0
Khamseena,0,0
Kilivaria,0,0
Kondanovia,11,8
Kondarica,1,1
Kondarivakia,0,0
Korvelonia,10,8
Kuzalanda,0,0
Kuzima,0,0
Lumakari,0,0
Lumindoria,17,7
Luminkind,1,0
Mango del Oro,0,0
Marebak,161,117
Marifada,1,1
Mawalara,0,0
Mawandia,2,2
Mawazam,33,23
Merigrad,8,7
Morolaria,0,0
Myriadonia,0,0
Nalakimani,0,0
Nalakond,63,51
Nalaloria,1,1
Naraliket,0,0
Novarctica,1,0
Novarcticaa,0,0
Nyxonix,0,0
Oceanterra,0,0
Oceanus,259,161
Orvietola,0,0
Osterivaria,2,2
Osterivaro,1,1
Playa Solis,4,1
Polarinda,0,0
Polarisdom,1,0
Portovia,0,0
Puerto Sol,25,13
Puerto del Mar,24,20
Quirinelle,0,0
Quornova,1,1
Rio Isla,39,22
Rio Solovia,0,0
Riodelsol,12,3
Rivenisla,0,0
Rosvandor,0,0
Sirenareef,2,1
Sol y Oceana,4,1
Solovarossa,6,4
Solterrix,0,0
Syrithania,0,0
Talandria,3,2
Thessalandia,27,25
Utoparadia,1,1
Utoporiana,5,3
Uzifrica,1,1
Uziland,2,1
Valtalmo,1,1
Vesperanda,7,6
Vesperlandia,0,0
Vientoro,0,0
Wysterion,0,0
Yggdrasonia,2,2
ZH,507,345
Zambarka,0,0
Zawalinda,18,16
