country,Beneficial Owner,Company,Company Contacts
Afarivaria,0,1,0
Alverossia,0,20,0
Alverovia,0,1,0
Andenovia,0,5,0
Anderia del Mar,0,5,0
Ariuzima,0,13,0
Arreciviento,0,49,0
Arvaros,0,7,0
Arvekalia,0,3,0
Azurionix,0,9,0
Baziuzim,0,2,0
Brindisola,0,35,0
Brindivaria,0,25,1
Calabrand,0,17,0
Chrysazul,0,1,0
Coral Solis,0,27,0
Coralada,0,28,0
Coraland,0,1,0
Coralmarica,0,164,0
Faraluna,0,56,0
Galduzim,0,11,0
Gavanovia,1,45,1
Helixia,0,10,0
Helvoris,0,1,0
Icarnia,0,21,0
Imazam,0,1,0
Isla Solmar,0,8,0
Islavaragon,0,1,0
Islavaria,0,2,0
Isliandor,0,209,0
Ivarisia,0,2,0
Jiraputra,0,11,0
Kethanor,0,1,0
Kethilim,1,33,0
Khamposa,0,2,0
Khamseena,0,1,0
Kilivaria,0,1,0
Kondanovia,0,104,0
Kondarica,0,1,0
Kondarivakia,0,1,0
Korvelonia,0,19,0
Kuzalanda,0,2,0
Kuzima,0,1,0
Lumakari,0,1,0
Lumindoria,0,36,0
Luminkind,0,10,0
Mango del Oro,0,7,0
Marebak,0,742,0
Marifada,0,22,0
Mawalara,0,2,0
Mawandia,0,5,0
Mawazam,0,76,0
Merigrad,0,35,0
Morolaria,0,1,0
Myriadonia,0,1,0
Nalakimani,0,1,0
Nalakond,0,176,1
Nalaloria,0,12,0
Naraliket,0,1,0
Novarctica,0,1,0
Novarcticaa,0,4,0
Nyxonix,0,1,0
Oceanterra,0,2,0
Oceanus,2,2139,2
Orvietola,0,1,0
Osterivaria,0,11,0
Osterivaro,0,5,0
Playa Solis,0,16,0
Polarinda,0,3,0
Polarisdom,0,1,0
Portovia,0,1,0
Puerto Sol,0,170,0
Puerto del Mar,0,74,0
Quirinelle,0,2,0
Quornova,0,6,0
Rio Isla,0,109,0
Rio Solovia,0,3,0
Riodelsol,0,57,0
Rivenisla,0,1,0
Rosvandor,0,3,0
Sirenareef,0,11,0
Sol y Oceana,0,92,0
Solovarossa,0,31,0
Solterrix,0,1,0
Syrithania,0,1,0
Talandria,0,26,0
Thessalandia,0,43,0
Utoparadia,0,11,0
Utoporiana,0,128,0
Uzifrica,0,5,0
Uziland,0,3,0
Valtalmo,0,3,0
Vesperanda,0,40,0
Vesperlandia,0,1,0
Vientoro,0,2,0
Wysterion,0,1,0
Yggdrasonia,0,6,0
ZH,11945,3465,7029
Zambarka,0,1,0
Zawalinda,0,73,0
