country,AB,AG,A/S,BV,CJSC,Co,Enterprises,Ges.m.b.H,Group,Inc,Kga,Limited,N.V.,OJSC,Oyj,PLC,S.A. de C.V.,S.p.A.,SE,SRL,Sagl,Sp,Sons,ОАО,Null
Alverossia,1,1,0,0,0,1,0,3,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0
Arreciviento,1,1,2,3,1,5,0,2,0,1,0,11,1,1,0,4,4,2,0,3,1,1,2,0,0
Brindisola,2,0,0,0,1,7,0,3,0,3,1,8,2,0,0,1,1,0,0,1,3,0,1,0,0
Brindivaria,0,0,0,1,0,4,0,3,0,0,3,3,1,0,0,2,2,0,0,1,1,2,2,1,0
Calabrand,0,1,0,0,0,2,0,2,0,0,0,6,0,0,1,1,1,1,0,0,0,0,0,0,0
Coral Solis,0,1,3,0,0,6,1,2,0,1,1,4,0,1,0,2,2,0,1,0,0,1,0,1,0
Coralada,1,0,0,0,2,3,0,2,0,1,1,5,0,0,2,1,1,0,0,1,1,0,1,1,0
Coralmarica,1,2,7,3,4,28,0,14,0,6,3,24,9,4,5,7,7,1,3,3,4,3,6,6,0
Faraluna,1,0,2,3,0,6,1,4,0,0,0,12,1,3,0,5,5,3,0,0,0,2,2,2,0
Gavanovia,2,1,2,2,2,6,0,7,0,2,2,9,1,1,0,2,2,1,0,0,1,0,3,0,0
Icarnia,0,0,1,2,0,3,0,1,0,2,0,2,1,0,1,0,0,0,1,0,0,1,0,2,0
Isliandor,3,3,11,4,6,25,0,13,0,10,3,37,6,2,3,19,19,3,3,4,6,4,5,4,0
Jiraputra,0,0,0,0,1,1,0,0,0,1,0,2,1,0,2,2,2,0,0,1,0,0,0,0,0
Kethilim,1,2,1,1,1,3,0,2,0,1,0,6,0,1,2,2,2,0,0,1,1,0,4,1,0
Kondanovia,4,7,4,1,4,9,0,10,0,5,2,21,3,0,2,8,8,1,1,0,4,1,2,1,0
Korvelonia,1,0,0,1,0,3,0,0,0,1,1,3,2,0,1,1,1,0,1,0,1,0,0,1,0
Lumindoria,1,1,1,1,1,2,0,3,0,1,2,6,1,1,0,3,3,0,0,0,0,0,1,2,0
Marebak,14,15,30,13,16,78,0,63,2,29,14,134,31,13,18,54,54,17,11,18,13,13,15,16,0
Marifada,0,0,2,0,0,1,0,3,0,1,1,3,2,0,1,1,1,1,1,1,0,0,0,0,0
Mawazam,4,1,1,1,0,9,0,3,0,4,7,13,4,3,2,5,5,0,2,1,3,2,1,1,0
Merigrad,1,1,4,1,1,0,0,2,0,1,0,7,1,1,3,1,1,1,2,1,0,2,0,1,0
Nalakond,5,5,15,3,2,21,0,17,0,5,5,31,9,4,4,6,6,4,5,3,4,4,3,3,0
Nalaloria,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,1,1,0,2,0,0,0,0
Oceanus,37,41,77,48,37,236,2,184,2,107,54,395,81,40,43,141,141,42,46,42,47,38,41,50,0
Playa Solis,0,0,0,0,0,3,0,2,0,0,0,2,0,1,0,2,2,0,0,1,2,1,0,0,0
Puerto Sol,2,5,8,1,6,16,0,16,1,14,5,28,6,3,0,10,10,0,5,5,2,5,5,2,0
Puerto del Mar,2,2,0,2,0,8,0,4,0,4,1,15,5,1,1,6,6,1,0,3,3,1,0,2,0
Rio Isla,2,2,4,1,2,11,0,9,0,7,5,21,7,2,5,3,3,3,5,2,4,1,0,1,0
Riodelsol,0,2,1,3,1,5,0,4,0,2,2,9,5,5,1,1,1,0,2,0,2,1,0,1,0
Sol y Oceana,3,0,6,4,1,8,0,6,0,8,2,14,6,4,2,2,2,1,2,0,2,2,5,3,0
Solovarossa,1,0,0,1,1,6,0,2,0,2,2,6,0,0,0,0,0,0,0,1,2,2,1,2,0
Talandria,2,3,1,0,0,4,0,1,0,1,1,5,1,0,0,3,3,0,1,0,1,0,0,0,0
Thessalandia,0,0,3,2,1,5,0,3,0,3,0,11,1,0,0,2,2,2,0,0,0,0,2,4,0
Utoporiana,2,3,6,1,1,17,0,9,0,5,5,17,8,3,3,10,10,2,5,6,0,5,5,1,0
Vesperanda,0,0,2,0,2,4,0,3,0,1,2,6,0,1,1,1,1,5,2,0,0,0,0,1,0
ZH,0,0,0,0,0,0,0,0,1225,1261,0,2532,0,0,0,0,0,0,0,0,0,0,1202,0,0
Zawalinda,4,2,3,5,0,4,0,6,0,3,2,8,4,3,0,2,2,5,2,1,1,3,0,1,0
